rank,name,version,status,category,artifact_verified,compilation_completed,evidence_scope,sources_checked,source_files_total,remaining,wheel_filename,wheel_sha256,requires_python,evidence
16,python-dateutil,2.9.0.post0,incompatible,syntax,True,False,verified_artifact,4,18,14,python_dateutil-2.9.0.post0-py2.py3-none-any.whl,a8b2bc7bffae282281c8140a97d3aa9c14da0b136dfe83f850eea9a5f7470427,"!=3.0.*,!=3.1.*,!=3.2.*,>=2.7","Verified wheel source fails compilation at dateutil/easter.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/dateutil/easter.py"", line 16
    def easter(year, method=EASTER_WESTERN):
SyntaxError: expected a literal, got '@id'
error: Python syntax check failed for '<staging>/wheel/dateutil/easter.py' (no source was executed)"
17,six,1.17.0,incompatible,syntax,True,False,verified_artifact,1,1,0,six-1.17.0-py2.py3-none-any.whl,4721f391ed90541fddacab5acf947aa0d3dc7d27b2e1e8eda2be8970586c3274,">=2.7, !=3.0.*, !=3.1.*, !=3.2.*","Verified wheel source fails compilation at six.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/six.py"", line 69
    else:
SyntaxError: expected an expression, got else
error: Python syntax check failed for '<staging>/wheel/six.py' (no source was executed)"
18,pydantic,2.13.5,incompatible,syntax,True,False,verified_artifact,1,105,104,pydantic-2.13.5-py3-none-any.whl,346a034f080da3755d8e9cb5e00e8b07de1d39e4f6e2c87d8ab7cafa0b269a73,>=3.9,"Verified wheel source fails compilation at pydantic/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/pydantic/__init__.py"", line 449
    for k, (_, v_module_name) in _dynamic_imports.items():
SyntaxError: expected '@id', got '('
error: Python syntax check failed for '<staging>/wheel/pydantic/__init__.py' (no source was executed)"
19,numpy,2.5.2,incompatible,native_only,False,False,metadata,0,,,numpy-2.5.2-cp312-cp312-macosx_10_13_x86_64.whl,14e373cfc6387177e8409dac3c7159be8eb05cd77096cd7c950268b86f62831c,>=3.12,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
20,click,8.5.0,incompatible,syntax,True,False,verified_artifact,2,17,15,click-8.5.0-py3-none-any.whl,255bc9599cf7748b4b1a446ccc735421bd08a2ae529a8b88597d3de5664ee360,>=3.10,"Verified wheel source fails compilation at click/_compat.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/click/_compat.py"", line 387
    if any(m in mode for m in [""w"", ""a"", ""x""]):
SyntaxError: expected ')', got 'for'
error: Python syntax check failed for '<staging>/wheel/click/_compat.py' (no source was executed)"
21,pycparser,3.0,incompatible,syntax,True,False,verified_artifact,1,7,6,pycparser-3.0-py3-none-any.whl,b727414169a36b7d524c1c3e31839a521725078d7b2ff038656844266160a992,>=3.10,"Verified wheel source fails compilation at pycparser/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/pycparser/__init__.py"", line 49
    + ""Make sure its path was passed correctly\n""
SyntaxError: expected ')', got '+'
error: Python syntax check failed for '<staging>/wheel/pycparser/__init__.py' (no source was executed)"
22,anyio,4.15.0,incompatible,syntax,True,False,verified_artifact,3,46,43,anyio-4.15.0-py3-none-any.whl,7ecd9937369ffce8bba0b5ccb9b3a9507b101b0ed50256aecfbab27e6c2acb99,>=3.10,"Verified wheel source fails compilation at anyio/_backends/_asyncio.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/anyio/_backends/_asyncio.py"", line 134
    *,
SyntaxError: expected '@id', got ','
error: Python syntax check failed for '<staging>/wheel/anyio/_backends/_asyncio.py' (no source was executed)"
23,pytest,9.1.1,incompatible,syntax,True,False,verified_artifact,4,81,77,pytest-9.1.1-py3-none-any.whl,37a86b45efb9a47a61a36449063e8e18d0cab3161329fc099eb21783169c4f0c,>=3.10,"Verified wheel source fails compilation at _pytest/_code/code.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/_pytest/_code/code.py"", line 1177
    f""    {type(e).__name__}: {e!s}\n""
SyntaxError: expected '=' after '!'
error: Python syntax check failed for '<staging>/wheel/_pytest/_code/code.py' (no source was executed)"
24,pydantic-core,2.48.0,incompatible,native_only,False,False,metadata,0,,,pydantic_core-2.48.0-cp310-cp310-macosx_10_12_x86_64.whl,ef32e1fc6daeb6b9f0112e121911096d28563dbac2d9bb6f4294cadbdbf5004d,>=3.10,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
25,iniconfig,2.3.0,incompatible,syntax,True,False,verified_artifact,1,4,3,iniconfig-2.3.0-py3-none-any.whl,f631c04d2c48c52b84d0d0549c99ff3859c98df65b3101406327ecc7d53fbf12,>=3.10,"Verified wheel source fails compilation at iniconfig/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/iniconfig/__init__.py"", line 99
    *,
SyntaxError: *args should be placed before **kwargs
error: Python syntax check failed for '<staging>/wheel/iniconfig/__init__.py' (no source was executed)"
26,aiobotocore,3.9.0,incompatible,syntax,True,False,verified_artifact,5,38,33,aiobotocore-3.9.0-py3-none-any.whl,7354659eac9ba6034675b3ea178330b7de97c45989d6fda1bf01d3da167b6135,>=3.10,"Verified wheel source fails compilation at aiobotocore/_helpers.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/aiobotocore/_helpers.py"", line 4
    async def resolve_awaitable(obj):
SyntaxError: expected statement end
error: Python syntax check failed for '<staging>/wheel/aiobotocore/_helpers.py' (no source was executed)"
27,annotated-types,0.8.0,incompatible,syntax,True,False,verified_artifact,1,2,1,annotated_types-0.8.0-py3-none-any.whl,f072f4d804ea359e4eaf198b1af7a8b0943881a87f31bb764f8bf219bb9419e0,>=3.10,"Verified wheel source fails compilation at annotated_types/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/annotated_types/__init__.py"", line 341
    namespace := getattr(self.func.__self__, ""__name__"", None)
SyntaxError: expected ')', got ':'
error: Python syntax check failed for '<staging>/wheel/annotated_types/__init__.py' (no source was executed)"
28,h11,0.16.0,incompatible,syntax,True,False,verified_artifact,3,11,8,h11-0.16.0-py3-none-any.whl,63cf8bbe7522de3bf65932fda1d9c2772064ffb3dae62d55932da54b31cb6c86,>=3.8,"Verified wheel source fails compilation at h11/_connection.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/h11/_connection.py"", line 51
    class NEED_DATA(Sentinel, metaclass=Sentinel):
SyntaxError: expected ')', got ','
error: Python syntax check failed for '<staging>/wheel/h11/_connection.py' (no source was executed)"
29,attrs,26.1.0,incompatible,syntax,True,False,verified_artifact,2,19,17,attrs-26.1.0-py3-none-any.whl,c647aa4a12dfbad9333ca4e71fe62ddc36f4e63b2d260a37a8b83d2f043ac309,>=3.9,"Verified wheel source fails compilation at attr/_cmp.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/attr/_cmp.py"", line 153
    return all(func(self, other) for func in self._requirements)
SyntaxError: expected ')', got 'for'
error: Python syntax check failed for '<staging>/wheel/attr/_cmp.py' (no source was executed)"
30,typing-inspection,0.4.4,incompatible,syntax,True,False,verified_artifact,2,3,1,typing_inspection-0.4.4-py3-none-any.whl,65b8397ba37ccbce054456aaccddfc91e6e3083c92824df348d96ca832f3f147,>=3.10,"Verified wheel source fails compilation at typing_inspection/introspection.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/typing_inspection/introspection.py"", line 28
    def is_union_origin(obj: Any, /) -> bool:
SyntaxError: expected '@id', got '/'
error: Python syntax check failed for '<staging>/wheel/typing_inspection/introspection.py' (no source was executed)"
31,protobuf,7.36.1,incompatible,syntax,True,False,verified_artifact,2,58,56,protobuf-7.36.1-py3-none-any.whl,7d951e46b3f963d6c264c367c437921de9d5aedd9c3f9612b9077736b4e3ad5c,>=3.10,"Verified wheel source fails compilation at google/protobuf/any.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/google/protobuf/any.py"", line 43
    f' {message_type.__qualname__}'
SyntaxError: expected ')', got '@fstr-begin'
error: Python syntax check failed for '<staging>/wheel/google/protobuf/any.py' (no source was executed)"
32,fsspec,2026.7.0,incompatible,syntax,True,False,verified_artifact,1,57,56,fsspec-2026.7.0-py3-none-any.whl,b57ddbafedfaef7018c1ecab32aa200a9d7ca26b77965f64e48b70061249d279,>=3.10,"Verified wheel source fails compilation at fsspec/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/fsspec/__init__.py"", line 52
    else:
SyntaxError: expected an expression, got else
error: Python syntax check failed for '<staging>/wheel/fsspec/__init__.py' (no source was executed)"
33,httpx,0.28.1,incompatible,syntax,True,False,verified_artifact,3,23,20,httpx-0.28.1-py3-none-any.whl,d909fcccc110f8c7faf814ca82a9a4d816bc5a6dbfea25d6591d6985b8ba59ad,>=3.8,"Verified wheel source fails compilation at httpx/_api.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/httpx/_api.py"", line 42
    *,
SyntaxError: expected '@id', got ','
error: Python syntax check failed for '<staging>/wheel/httpx/_api.py' (no source was executed)"
34,markupsafe,3.0.3,incompatible,native_only,False,False,metadata,0,,,markupsafe-3.0.3-cp310-cp310-macosx_10_9_x86_64.whl,2f981d352f04553a7171b8e44369f2af4055f888dfb147d55e42d29e29e74559,>=3.9,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
35,httpcore,1.0.9,incompatible,syntax,True,False,verified_artifact,2,31,29,httpcore-1.0.9-py3-none-any.whl,2d400746a40668fc9dec9810239072b40b4484b640a8c38fd654a024c7a1bf55,>=3.8,"Verified wheel source fails compilation at httpcore/_api.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/httpcore/_api.py"", line 13
    *,
SyntaxError: expected '@id', got ','
error: Python syntax check failed for '<staging>/wheel/httpcore/_api.py' (no source was executed)"
36,s3transfer,0.19.2,incompatible,syntax,True,False,verified_artifact,1,16,15,s3transfer-0.19.2-py3-none-any.whl,d8168eccca828cbb2cd573675333f3bddd254313a9c42494b84c76b539e8ba25,>= 3.10,"Verified wheel source fails compilation at s3transfer/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/s3transfer/__init__.py"", line 159
    return ''.join(random.choice(string.hexdigits) for _ in range(num_digits))
SyntaxError: expected ')', got 'for'
error: Python syntax check failed for '<staging>/wheel/s3transfer/__init__.py' (no source was executed)"
37,python-dotenv,1.2.3,incompatible,syntax,True,False,verified_artifact,3,8,5,python_dotenv-1.2.3-py3-none-any.whl,904552145e8bfed22162c09dab1c2b9b54fefa7b23ba780f4f26ca0316b0f0d9,>=3.10,"Verified wheel source fails compilation at dotenv/cli.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/dotenv/cli.py"", line 193
    for (k, v) in dotenv_values(file).items()
SyntaxError: expected '@id', got '('
error: Python syntax check failed for '<staging>/wheel/dotenv/cli.py' (no source was executed)"
38,platformdirs,4.11.7,incompatible,syntax,True,False,verified_artifact,1,9,8,platformdirs-4.11.7-py3-none-any.whl,8a02cb259042c79d1cd0450facc2fe6dc9d303ae7901afbe33bf8ea0b188cef6,>=3.10,"Verified wheel source fails compilation at platformdirs/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/platformdirs/__init__.py"", line 371
    *,
SyntaxError: *args should be placed before **kwargs
error: Python syntax check failed for '<staging>/wheel/platformdirs/__init__.py' (no source was executed)"
39,pandas,3.0.5,incompatible,native_only,False,False,metadata,0,,,pandas-3.0.5-cp311-cp311-macosx_10_9_x86_64.whl,2946e77e4a53cd248cbde631a12f0e51c8324ce354c3eba4d20147c1ad6f4282,>=3.11,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
40,jinja2,3.1.6,incompatible,syntax,True,False,verified_artifact,3,25,22,jinja2-3.1.6-py3-none-any.whl,85ece4451f492d0c13c5dd7c13a64681a86afae63a5f347908daf103ce6d2f67,>=3.7,"Verified wheel source fails compilation at jinja2/async_utils.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/jinja2/async_utils.py"", line 62
    async def auto_await(value: t.Union[t.Awaitable[""V""], ""V""]) -> ""V"":
SyntaxError: expected statement end
error: Python syntax check failed for '<staging>/wheel/jinja2/async_utils.py' (no source was executed)"
41,pathspec,1.1.1,incompatible,syntax,True,False,verified_artifact,4,31,27,pathspec-1.1.1-py3-none-any.whl,a00ce642f577bf7f473932318056212bc4f8bfdf53128c78bbd5af0b9b20b189,>=3.9,"Verified wheel source fails compilation at pathspec/_backends/agg.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/pathspec/_backends/agg.py"", line 76
    raise ValueError(f""Backend {name=!r} is invalid."")
SyntaxError: expected an expression, got =
error: Python syntax check failed for '<staging>/wheel/pathspec/_backends/agg.py' (no source was executed)"
42,grpcio-status,1.83.1,incompatible,syntax,True,False,verified_artifact,2,4,2,grpcio_status-1.83.1-py3-none-any.whl,2cd328ee62ef2b3eb957dd3b75db7dadcdbb76488fdc9ab3aba1ebfbbdc324a4,>=3.10,"Verified wheel source fails compilation at grpc_status/_async.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/grpc_status/_async.py"", line 23
    async def from_call(call: aio.Call):
SyntaxError: expected statement end
error: Python syntax check failed for '<staging>/wheel/grpc_status/_async.py' (no source was executed)"
43,filelock,3.32.5,incompatible,syntax,True,False,verified_artifact,2,21,19,filelock-3.32.5-py3-none-any.whl,142cd9fa77a872c5e78c62329a0d15278fadc686eb89e760017968961a4fd6b2,>=3.10,"Verified wheel source fails compilation at filelock/_api.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/filelock/_api.py"", line 402
    msg = f""Singleton lock construction is already active for {lock_file!s}""
SyntaxError: expected '=' after '!'
error: Python syntax check failed for '<staging>/wheel/filelock/_api.py' (no source was executed)"
44,pip,26.2.1,incompatible,syntax,True,False,verified_artifact,3,404,401,pip-26.2.1-py3-none-any.whl,71138adf1f4ca900cdb7d289c21b7494329f2332b6d85f0e1c42108c0384ed3e,>=3.10,"Verified wheel source fails compilation at pip/__pip-runner__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/pip/__pip-runner__.py"", line 16
    return ""."".join(str(v) for v in version)
SyntaxError: expected ')', got 'for'
error: Python syntax check failed for '<staging>/wheel/pip/__pip-runner__.py' (no source was executed)"
45,pyjwt,2.13.0,incompatible,syntax,True,False,verified_artifact,2,12,10,pyjwt-2.13.0-py3-none-any.whl,66adcc2aff09b3f1bbd95fc1e1577df8ac8723c978552fd43304c8a290ac5728,>=3.9,"Verified wheel source fails compilation at jwt/algorithms.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/jwt/algorithms.py"", line 195
    and isinstance(hash_alg, type)
SyntaxError: expected ')', got 'and'
error: Python syntax check failed for '<staging>/wheel/jwt/algorithms.py' (no source was executed)"
46,starlette,1.6.0,incompatible,syntax,True,False,verified_artifact,2,35,33,starlette-1.6.0-py3-none-any.whl,a86dd39d14bb45f85a3d18525215a9ef0cfd1f192ac793220e72598c90335f0c,>=3.10,"Verified wheel source fails compilation at starlette/_exception_handler.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/starlette/_exception_handler.py"", line 31
    async def wrapped_app(scope: Scope, receive: Receive, send: Send) -> None:
SyntaxError: expected statement end
error: Python syntax check failed for '<staging>/wheel/starlette/_exception_handler.py' (no source was executed)"
47,uvicorn,0.52.4,incompatible,syntax,True,False,verified_artifact,4,42,38,uvicorn-0.52.4-py3-none-any.whl,f86e41a149d7d05a9969337e3946a9c171c06a5d42680896daaba624aeac8da1,>=3.10,"Verified wheel source fails compilation at uvicorn/_compat.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/uvicorn/_compat.py"", line 23
    *,
SyntaxError: expected '@id', got ','
error: Python syntax check failed for '<staging>/wheel/uvicorn/_compat.py' (no source was executed)"
48,litellm,1.99.0,incompatible,native_only,False,False,metadata,0,,,litellm-1.99.0-cp310-abi3-macosx_10_12_x86_64.whl,a43e8716da8beed04480e91b4233ff2f1ab1fedd84cad332dbc526b54a9229ca,"<3.15,>=3.10",The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
49,aiohttp,3.14.3,incompatible,native_only,False,False,metadata,0,,,aiohttp-3.14.3-cp310-cp310-macosx_10_9_universal2.whl,eb0495d778817619273c108784292be161a924b9f5ae5cbbc70a2caa6838250b,>=3.10,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
50,tqdm,4.70.0,incompatible,syntax,True,False,verified_artifact,4,31,27,tqdm-4.70.0-py3-none-any.whl,7f585706bfddbdebf89daac705b2dfcc16890130727d3197ca62c732b4310953,>=3.8,"Verified wheel source fails compilation at tqdm/_monitor.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/tqdm/_monitor.py"", line 87
    and (cur_t - instance.last_print_t) >= instance.maxinterval
SyntaxError: expected ')', got 'and'
error: Python syntax check failed for '<staging>/wheel/tqdm/_monitor.py' (no source was executed)"
51,jmespath,1.1.0,incompatible,syntax,True,False,verified_artifact,4,9,5,jmespath-1.1.0-py3-none-any.whl,a5663118de4908c91729bea0acadca56526eb2698e83de10cd116ae0f4e97c64,>=3.9,"Verified wheel source fails compilation at jmespath/exceptions.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/jmespath/exceptions.py"", line 12
    msg=_ERROR_MESSAGE):
SyntaxError: expected a literal, got '@id'
error: Python syntax check failed for '<staging>/wheel/jmespath/exceptions.py' (no source was executed)"
52,rpds-py,2026.6.3,incompatible,native_only,False,False,metadata,0,,,rpds_py-2026.6.3-cp311-cp311-macosx_10_12_x86_64.whl,7b689145a1485c335569bd056464f3243a29af7ed3871c7be31ad624ba239bc7,>=3.11,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
53,yarl,1.24.5,incompatible,syntax,True,False,verified_artifact,2,8,6,yarl-1.24.5-py3-none-any.whl,a33700d13d9b7d84fd10947b09ff69fb9a792e519c8cb9764a3ca70baa6c23a7,>=3.10,"Verified wheel source fails compilation at yarl/_parse.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/yarl/_parse.py"", line 126
    ""characters under NFKC normalization""
SyntaxError: expected ')', got '@str'
error: Python syntax check failed for '<staging>/wheel/yarl/_parse.py' (no source was executed)"
54,jsonschema,4.26.0,incompatible,syntax,True,False,verified_artifact,1,37,36,jsonschema-4.26.0-py3-none-any.whl,d489f15263b8d200f8387e64b4c3a75f06629559fb73deb8fdfb525f2dab50ce,>=3.10,"Verified wheel source fails compilation at jsonschema/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/jsonschema/__init__.py"", line 98
    ""removed in a future release. Instead, use the FORMAT_CHECKER ""
SyntaxError: expected ')', got '@str'
error: Python syntax check failed for '<staging>/wheel/jsonschema/__init__.py' (no source was executed)"
